Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
United States,2022,Senior,FT,Data Scientist,136620,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.82496594783159,3,136.6,1940.62,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,99360,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.506514961528898,3,99.4,1411.36,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United Kingdom,2022,Senior,FT,Data Scientist,117789,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.67665865695283,3,117.8,1899.82,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,12,0.0,92125.9828159396
United Kingdom,2022,Senior,FT,Data Scientist,104702,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.55888304974326,3,104.7,1688.74,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,12,0.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,146000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.891368749982085,3,146.0,2073.86,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,123000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.719947764402807,3,123.0,1747.16,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United Kingdom,2022,Entry,FT,Data Engineer,52351,100,M,62.0,31.1,115.2,47.1,46062.9914079698,10.865745419962419,1,52.4,844.37,0.66,399.852,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,True,False,2,1.0,92125.9828159396
United States,2022,Senior,FT,Data Analyst,99000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.502885230075814,3,99.0,1406.25,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,116000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.661354090741,3,116.0,1647.73,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Mid,FT,Data Analyst,106260,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.573653610839628,2,106.3,1509.37,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Mid,FT,Data Analyst,126500,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.748005492256807,2,126.5,1796.87,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Executive,FT,Data Engineer,242000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.396697137361691,4,242.0,3437.5,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,8,4.0,155721.8225817696
